Core: hps_sdram_p0 - Instance: the_system|acl_iface|hps|hps_io|border|hps_sdram_inst
Path, Setup Margin, Hold Margin
"Address Command (Slow 1100mV 85C Model)",0.458,0.447
"Bus Turnaround Time (Slow 1100mV 85C Model)",2.672,--
"Core (Slow 1100mV 85C Model)",1.435,0.188
"Core Recovery/Removal (Slow 1100mV 85C Model)",2.839,0.593
"DQS vs CK (Slow 1100mV 85C Model)",0.314,0.219
"Postamble (Slow 1100mV 85C Model)",0.465,0.465
"Read Capture (Slow 1100mV 85C Model)",0.152,0.104
"Write (Slow 1100mV 85C Model)",0.166,0.166
"Address Command (Slow 1100mV 0C Model)",0.444,0.445
"Bus Turnaround Time (Slow 1100mV 0C Model)",2.706,--
"Core (Slow 1100mV 0C Model)",1.408,0.228
"Core Recovery/Removal (Slow 1100mV 0C Model)",3.037,0.564
"DQS vs CK (Slow 1100mV 0C Model)",0.374,0.218
"Postamble (Slow 1100mV 0C Model)",0.443,0.443
"Read Capture (Slow 1100mV 0C Model)",0.159,0.112
"Write (Slow 1100mV 0C Model)",0.195,0.195
"Address Command (Fast 1100mV 85C Model)",0.542,0.517
"Bus Turnaround Time (Fast 1100mV 85C Model)",2.898,--
"Core (Fast 1100mV 85C Model)",2.11,0.084
"Core Recovery/Removal (Fast 1100mV 85C Model)",3.727,0.497
"DQS vs CK (Fast 1100mV 85C Model)",0.523,0.397
"Postamble (Fast 1100mV 85C Model)",0.584,0.584
"Read Capture (Fast 1100mV 85C Model)",0.374,0.327
"Write (Fast 1100mV 85C Model)",0.332,0.332
"Address Command (Fast 1100mV 0C Model)",0.515,0.551
"Bus Turnaround Time (Fast 1100mV 0C Model)",2.91,--
"Core (Fast 1100mV 0C Model)",2.11,0.077
"Core Recovery/Removal (Fast 1100mV 0C Model)",3.825,0.473
"DQS vs CK (Fast 1100mV 0C Model)",0.524,0.42
"Postamble (Fast 1100mV 0C Model)",0.59,0.59
"Read Capture (Fast 1100mV 0C Model)",0.373,0.326
"Write (Fast 1100mV 0C Model)",0.345,0.345
